2025-11-16 18:24:20 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:24:20 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:24:49 | INFO     | admin_dialogs.py:303 | Загружено 7 узлов структуры гайдов.
2025-11-16 18:25:38 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:25:39 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:25:39 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:31:36 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:31:37 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:31:37 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:41:47 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:41:48 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:41:48 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:42:19 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:42:19 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:42:19 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:42:37 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:42:38 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:42:38 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:43:39 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:43:40 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:43:40 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:46:08 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:46:09 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:46:09 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:47:32 | INFO     | main_window.py:932 | Пользователь ADMIN вышел из системы.
2025-11-16 18:50:27 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:50:28 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:50:28 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:52:11 | INFO     | main_window.py:593 | Гайд сохранен: root_info
2025-11-16 18:52:50 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:52:50 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:52:50 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:54:03 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:54:04 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:54:04 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:55:27 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:55:28 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:55:28 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:55:29 | INFO     | firebase_service.py:129 | Пакетная запись начальных данных успешно выполнена.
2025-11-16 18:56:33 | INFO     | admin_dialogs.py:303 | Загружено 4 узлов структуры гайдов.
2025-11-16 18:56:36 | INFO     | admin_dialogs.py:303 | Загружено 4 узлов структуры гайдов.
2025-11-16 18:58:46 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:58:47 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:58:47 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:58:50 | INFO     | main.py:41 | Вход отменен. Завершение работы.
2025-11-16 18:59:17 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:59:18 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:59:18 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:59:35 | INFO     | admin_dialogs.py:187 | Загружено 0 пользователей для управления.
2025-11-16 18:59:38 | INFO     | admin_dialogs.py:187 | Загружено 0 пользователей для управления.
2025-11-16 18:59:39 | INFO     | admin_dialogs.py:187 | Загружено 0 пользователей для управления.
2025-11-16 18:59:39 | INFO     | admin_dialogs.py:187 | Загружено 0 пользователей для управления.
2025-11-16 18:59:45 | INFO     | admin_dialogs.py:314 | Загружено 4 узлов структуры гайдов.
2025-11-16 18:59:47 | INFO     | main_window.py:897 | Пользователь ADMIN вышел из системы.
2025-11-16 19:00:08 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:00:08 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:00:08 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 19:00:18 | INFO     | admin_dialogs.py:187 | Загружено 0 пользователей для управления.
2025-11-16 19:01:07 | INFO     | main_window.py:897 | Пользователь ADMIN вышел из системы.
2025-11-16 19:01:16 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:01:17 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:01:17 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 19:04:03 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:04:05 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:04:05 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 19:04:24 | INFO     | admin_dialogs.py:330 | Загружено 6 узлов структуры гайдов.
2025-11-16 19:05:10 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:05:11 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:05:11 | INFO     | firebase_service.py:31 | Firebase успешно инициализирован.
2025-11-16 19:05:19 | INFO     | admin_dialogs.py:192 | Загружено 11 пользователей для управления.
2025-11-16 19:06:24 | INFO     | main_window.py:558 | Гайд сохранен: e1kNk4n21YcOC9FsJ7sN
2025-11-16 19:07:47 | INFO     | admin_dialogs.py:319 | Загружено 7 узлов структуры гайдов.
2025-11-16 19:07:48 | INFO     | admin_dialogs.py:192 | Загружено 11 пользователей для управления.
2025-11-16 19:08:32 | INFO     | admin_dialogs.py:192 | Загружено 11 пользователей для управления.
2025-11-16 19:09:05 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:09:06 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:09:06 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:10:28 | INFO     | config.py:42 | Система логирования инициализирована.
